device,loop,zone,description,subtype,type,name,locationId
1,1,5,IRD-IT4-B04-SEL-01 ELEC CUPBOARD,x02,OPT,L1 - D1 - Z5 - IRD-IT4-B04-SEL-01 ELEC CUPBOARD - OPT,IRD-IT4-B04-SEL-01
2,1,5,IRD-ICG-B04-SIC-05 COMMS CUPBOARD,x02,OPT,L1 - D2 - Z5 - IRD-ICG-B04-SIC-05 COMMS CUPBOARD - OPT,IRD-ICG-B04-SIC-05
3,1,2000,FPS-BMV-ICG-B04-20-21,a03,HYD,L1 - D3 - Z2000 - FPS-BMV-ICG-B04-20-21 - HYD,
6,1,3204,IT4 BASEMENT 4 EXIT INTERFACE NTH,a03,SIGN,L1 - D6 - Z3204 - IT4 BASEMENT 4 EXIT INTERFACE NTH - SIGN,
7,1,10,IRD-IT4-B03-SEL-01 ELEC CUPBOARD,x02,OPT,L1 - D7 - Z10 - IRD-IT4-B03-SEL-01 ELEC CUPBOARD - OPT,IRD-IT4-B03-SEL-01
8,1,10,IRD-ICG-B03-SIC-05 COMMS CUPBOARD,x02,OPT,L1 - D8 - Z10 - IRD-ICG-B03-SIC-05 COMMS CUPBOARD - OPT,IRD-ICG-B03-SIC-05
10,1,3204,IT4 BASEMENT 3 EXIT INTERFACE STH,a03,SIGN,L1 - D10 - Z3204 - IT4 BASEMENT 3 EXIT INTERFACE STH - SIGN,
12,1,15,IRD-IT4-B02-SEL-01 ELEC CUPBOARD,x02,OPT,L1 - D12 - Z15 - IRD-IT4-B02-SEL-01 ELEC CUPBOARD - OPT,IRD-IT4-B02-SEL-01
13,1,15,IRD-ICG-B02-SIC-05 COMMS CUPBOARD,x02,OPT,L1 - D13 - Z15 - IRD-ICG-B02-SIC-05 COMMS CUPBOARD - OPT,IRD-ICG-B02-SIC-05
14,1,2002,FPS-BMV-ICG-B02-04,a03,HYD,L1 - D14 - Z2002 - FPS-BMV-ICG-B02-04 - HYD,
16,1,3204,IT4 BASEMENT 2 EXIT INTERFACE NTH,a03,SIGN,L1 - D16 - Z3204 - IT4 BASEMENT 2 EXIT INTERFACE NTH - SIGN,
17,1,20,IRD-IT4-B01-SEL-01 ELEC CUPBOARD,x02,OPT,L1 - D17 - Z20 - IRD-IT4-B01-SEL-01 ELEC CUPBOARD - OPT,IRD-IT4-B01-SEL-01
18,1,20,IRD-ICG-B01-SIC-05 COMMS CUPBOARD,x02,OPT,L1 - D18 - Z20 - IRD-ICG-B01-SIC-05 COMMS CUPBOARD - OPT,IRD-ICG-B01-SIC-05
19,1,20,IRD-ICG-B01-SME-04 MECH CUPBOARD,x02,OPT,L1 - D19 - Z20 - IRD-ICG-B01-SME-04 MECH CUPBOARD - OPT,IRD-ICG-B01-SME-04
21,1,2003,FPS-BMV-ICG-B01-05,a02,HYD,L1 - D21 - Z2003 - FPS-BMV-ICG-B01-05 - HYD,
22,1,2003,BASEMENT 1 VALVE HYD B01-TBC,a03,HYD,L1 - D22 - Z2003 - BASEMENT 1 VALVE HYD B01-TBC - HYD,
23,1,2003,BASEMENT 1 VALVE HYD B01-11-12-13,a03,HYD,L1 - D23 - Z2003 - BASEMENT 1 VALVE HYD B01-11-12-13 - HYD,
24,1,2003,BASEMENT TANK VALVE 1-2,a03,VM,L1 - D24 - Z2003 - BASEMENT TANK VALVE 1-2 - VM,
25,1,2003,FPS-BMV-ICG-B01-01,a02,HYD,L1 - D25 - Z2003 - FPS-BMV-ICG-B01-01 - HYD,
26,1,2003,FPS-BMV-ICG-B01-31-T21,a03,HYD,L1 - D26 - Z2003 - FPS-BMV-ICG-B01-31-T21 - HYD,
27,1,2003,BASEMENT 1 VALVE HYD B01-TBC,a03,HYD,L1 - D27 - Z2003 - BASEMENT 1 VALVE HYD B01-TBC - HYD,
28,1,3204,IT4 BASEMENT 1 EXIT INTERFACE STH,a03,SIGN,L1 - D28 - Z3204 - IT4 BASEMENT 1 EXIT INTERFACE STH - SIGN,
