device,loop,zone,description,subtype,type,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,1,5,IRD-IT4-B04-SEL-01 ELEC CUPBOARD,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,2,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,1,5,IRD-ICG-B04-SIC-05 COMMS CUPBOARD,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,2,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
3,1,2000,FPS-BMV-ICG-B04-20/21,a03,HYD,4,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,NA,,,,,
4,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
5,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
6,1,3204,IT4 BASEMENT 4 EXIT INTERFACE NTH,a03,SIGN,4,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,NA,,,,,
7,1,10,IRD-IT4-B03-SEL-01 ELEC CUPBOARD,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,3,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
8,1,10,IRD-ICG-B03-SIC-05 COMMS CUPBOARD,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,3,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
9,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
10,1,3204,IT4 BASEMENT 3 EXIT INTERFACE STH,a03,SIGN,4,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,NA,,,,,
11,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
12,1,15,IRD-IT4-B02-SEL-01 ELEC CUPBOARD,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,4,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
