loop,node,id,raw
1,1,10101,M 10101 X 1
2,1,10102,M 10102 X 1
3,1,10103,M 10103 X 1
4,1,10104,M 10104 X 1
5,1,10105,M 10105 X 1
6,1,10106,M 10106 X 1
7,1,10107,M 10107 X 1
8,1,10108,M 10108 X 1
11,9,90101,M 90101 X 1
12,9,90102,M 90102 X 1
13,9,90103,M 90103 X 1
14,9,90104,M 90104 X 1
15,9,90105,M 90105 X 1
16,9,90106,M 90106 X 1
17,9,90107,M 90107 X 1
18,9,90108,M 90108 X 1
19,10,100101,M 100101 X 1
20,10,100102,M 100102 X 1
21,10,100103,M 100103 X 1
22,10,100104,M 100104 X 1
23,11,110101,M 110101 X 1
24,11,110102,M 110102 X 1
25,11,110103,M 110103 X 1
26,11,110104,M 110104 X 1
27,11,110105,M 110105 X 1
28,11,110106,M 110106 X 1
29,11,110107,M 110107 X 1
30,11,110108,M 110108 X 1
31,12,120101,M 120101 X 1
32,12,120102,M 120102 X 1
33,12,120103,M 120103 X 1
34,12,120104,M 120104 X 1
35,12,120105,M 120105 X 1
36,12,120106,M 120106 X 1
37,12,120107,M 120107 X 1
38,12,120108,M 120108 X 1
110,13,130101,M 130101 X 1
111,13,130102,M 130102 X 1
41,14,140101,M 140101 X 1
42,14,140102,M 140102 X 1
43,14,140103,M 140103 X 1
44,14,140104,M 140104 X 1
45,14,140105,M 140105 X 1
46,14,140106,M 140106 X 1
47,14,140107,M 140107 X 1
48,14,140108,M 140108 X 1
49,16,160101,M 160101 X 1
50,16,160102,M 160102 X 1
51,16,160103,M 160103 X 1
52,16,160104,M 160104 X 1
53,16,160105,M 160105 X 1
54,16,160106,M 160106 X 1
55,16,160107,M 160107 X 1
56,16,160108,M 160108 X 1
57,17,170101,M 170101 X 1
58,17,170102,M 170102 X 1
59,17,170103,M 170103 X 1
60,17,170104,M 170104 X 1
61,17,170105,M 170105 X 1
62,17,170106,M 170106 X 1
63,17,170107,M 170107 X 1
64,17,170108,M 170108 X 1
69,19,190101,M 190101 X 1
71,20,200101,M 200101 X 1
103,21,210101,M 210101 X 1
104,21,210102,M 210102 X 1
105,21,210103,M 210103 X 1
75,22,220101,M 220101 X 1
76,22,220102,M 220102 X 1
77,22,220103,M 220103 X 1
78,22,220104,M 220104 X 1
79,22,220105,M 220105 X 1
80,22,220106,M 220106 X 1
81,22,220107,M 220107 X 1
82,22,220108,M 220108 X 1
83,23,230101,M 230101 X 1
84,23,230102,M 230102 X 1
85,23,230103,M 230103 X 1
86,23,230104,M 230104 X 1
87,23,230105,M 230105 X 1
106,23,230106,M 230106 X 1
107,23,230107,M 230107 X 1
108,23,230108,M 230108 X 1
88,24,240101,M 240101 X 1
89,24,240102,M 240102 X 1
90,24,240103,M 240103 X 1
91,24,240104,M 240104 X 1
92,24,240105,M 240105 X 1
93,24,240106,M 240106 X 1
94,24,240107,M 240107 X 1
95,24,240108,M 240108 X 1
96,25,250101,M 250101 X 1
97,25,250102,M 250102 X 1
98,25,250103,M 250103 X 1
99,25,250104,M 250104 X 1
100,25,250105,M 250105 X 1
112,25,250106,M 250106 X 1
113,25,250107,M 250107 X 1
114,25,250108,M 250108 X 1
101,26,260101,M 260101 X 1
102,26,260102,M 260102 X 1
