node,description,id,raw
1,MAIN FIRE PANEL,10000,P 10000 P 1
2,MAIN FIRE FAN CONTROL PANEL 1,20000,P 20000 P 1
3,MAIN FIRE FAN CONTROL PANEL 2,30000,P 30000 P 1
4,MAIN FIRE FAN CONTROL PANEL 3,40000,P 40000 P 1
5,MAIN FIRE FAN CONTROL PANEL 4,50000,P 50000 P 1
6,MAIN FIRE FAN CONTROL PANEL 5,60000,P 60000 P 1
7,MAIN FIRE FAN CONTROL PANEL 6,70000,P 70000 P 1
8,MAIN FIRE FAN CONTROL PANEL 7,80000,P 80000 P 1
9,CASINO DATA GATHERING POINT 1,90000,P 90000 P 1
10,CASINO DATA GATHERING POINT 2,100000,P 100000 P 1
11,IT4 DATA GATHERING POINT 1,110000,P 110000 P 1
12,IT4 DATA GATHERING POINT 2,120000,P 120000 P 1
13,HARRIS TCE SUB FIRE PANEL,130000,P 130000 P 1
14,IT1 SUB FIRE PANEL 1,140000,P 140000 P 1
15,IT1 SUB FIRE PANEL 2,150000,P 150000 P 1
16,IT1 DATA GATHERING POINT 1,160000,P 160000 P 1
17,IT1 DATA GATHERING POINT 2,170000,P 170000 P 1
18,IT1 DATA GATHERING POINT 3,180000,P 180000 P 1
19,DC2 GAS PANEL,190000,P 190000 P 1
20,MCCR1 GAS PANEL,200000,P 200000 P 1
21,PRINTING BUILDING SUB FIRE PANEL,210000,P 210000 P 1
22,IT2 SUB FIRE PANEL,220000,P 220000 P 1
23,IT2 DATA GATHERING POINT,230000,P 230000 P 1
24,IT3 SUB FIRE PANEL,240000,P 240000 P 1
25,IT3 DATA GATHERING POINT,250000,P 250000 P 1
26,IT2/IT3 MAIN CARRIER GAS PANEL,260000,P 260000 P 1
